epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,173.495,2.60955,1.81388,0.81711,0,0,0,0,5.24563,5.26415,0.97781,0.000664767,0.000664767,0.0674264
2,343.078,2.38466,1.24869,0.81057,0,0,0,0,4.24179,7.93708,0.93635,0.00126553,0.00126553,0.0346938
3,516.1,2.21213,1.13975,0.80399,0,0,0,0,5.59576,6.1042,1.04259,0.00180029,0.00180029,0.00189526
4,688.311,2.09634,1.07581,0.78975,9e-05,0.00111,5e-05,0,3.81961,5.57414,0.83618,0.001703,0.001703,0.001703
5,856.744,2.02415,0.99004,0.78567,0.00332,0.08657,0.00192,0.00034,4.26412,5.92703,0.95663,0.001604,0.001604,0.001604
6,1013.65,1.99852,0.98651,0.77504,0.00176,0.03219,0.00093,0.0001,5.29067,6.7985,1.01654,0.001505,0.001505,0.001505
7,1165.2,1.86282,0.90935,0.76969,0.00014,0.00777,7e-05,2e-05,4.78239,6.0839,0.94999,0.001406,0.001406,0.001406
8,1316.63,1.86222,0.91416,0.7683,0.00149,0.02109,0.00076,0.0002,4.51902,6.14751,0.89725,0.001307,0.001307,0.001307
9,1468.24,1.8658,0.91877,0.77995,7e-05,0.00111,4e-05,1e-05,5.09626,6.22111,0.91842,0.001208,0.001208,0.001208
10,1620.47,1.841,0.88459,0.75931,0.00524,0.00666,0.00033,0.0001,4.96187,6.5344,0.96996,0.001109,0.001109,0.001109
11,1771.22,1.76131,0.82415,0.76863,0.00236,0.00222,0.0005,9e-05,4.67895,6.50492,0.94542,0.00101,0.00101,0.00101
12,1921.4,1.72465,0.80134,0.76251,0.00424,0.09656,0.00262,0.00057,4.64051,6.09707,0.96864,0.000911,0.000911,0.000911
13,2063.94,1.68619,0.78556,0.75999,0.00825,0.00888,0.00107,0.00043,4.07845,7.05208,0.9119,0.000812,0.000812,0.000812
14,2203.23,1.6475,0.74525,0.75627,0.00793,0.00555,0.00179,0.00047,4.35534,6.62265,0.94897,0.000713,0.000713,0.000713
15,2342.77,1.62566,0.73092,0.74859,0.00411,0.00333,0.00024,6e-05,4.71564,8.12384,0.9901,0.000614,0.000614,0.000614
16,2483.69,1.57637,0.71958,0.7559,0.00344,0.05438,0.00189,0.00041,4.5085,6.89627,0.96328,0.000515,0.000515,0.000515
17,2623.74,1.56895,0.69838,0.76049,0.00387,0.03885,0.00207,0.00046,4.43376,7.19568,0.93607,0.000416,0.000416,0.000416
18,2763.33,1.50388,0.68842,0.73935,0.01493,0.00999,0.00266,0.00096,4.5875,7.50574,0.97858,0.000317,0.000317,0.000317
19,2908.58,1.51114,0.68505,0.7527,0.00956,0.00666,0.00148,0.00045,4.20615,7.34072,0.90768,0.000218,0.000218,0.000218
20,3055.83,1.44374,0.63874,0.74748,0.01174,0.00888,0.00198,0.00061,3.95814,7.12567,0.8703,0.000119,0.000119,0.000119
